file;symbol_name;symbol;font_name;font_size;width;height;weight_q1;weight_q2;weight_q3;weight_q4;specific_weight_q1;specific_weight_q2;specific_weight_q3;specific_weight_q4;center_x;center_y;center_x_norm;center_y_norm;inertia_x;inertia_y;inertia_x_norm;inertia_y_norm
01_alpha.png;alpha;α;Times New Roman;52;25;24;57;62;62;69;0.395833;0.397436;0.430556;0.442308;11.068;12.036;0.461167;0.523304;12504.676;12821.844;0.034735;0.035616
02_beta.png;beta;β;Times New Roman;52;22;47;103;103;109;64;0.407115;0.407115;0.412879;0.242424;9.05277;20.949868;0.431084;0.455432;59392.047493;17884.944591;0.05555;0.016728
03_gamma.png;gamma;γ;Times New Roman;52;22;33;60;61;27;29;0.340909;0.346591;0.144385;0.15508;10.926554;11.853107;0.520312;0.37041;17000.180791;4442.045198;0.032254;0.008428
04_delta.png;delta;δ;Times New Roman;52;21;37;42;65;86;80;0.233333;0.328283;0.452632;0.382775;9.952381;19.553114;0.497619;0.543142;32057.479853;10158.380952;0.053099;0.016826
05_epsilon.png;epsilon;ε;Times New Roman;52;19;24;48;39;58;41;0.444444;0.325;0.537037;0.341667;8.010753;12.075269;0.445042;0.525012;10622.946237;5465.978495;0.051088;0.026287
06_zeta.png;zeta;ζ;Times New Roman;52;19;47;48;33;52;74;0.231884;0.143478;0.240741;0.308333;8.623188;25.009662;0.479066;0.543688;45523.980676;6498.608696;0.057087;0.008149
07_eta.png;eta;η;Times New Roman;52;24;34;90;81;30;71;0.441176;0.397059;0.147059;0.348039;14.084559;13.378676;0.612372;0.405414;23059.996324;13109.055147;0.034632;0.019688
08_theta.png;theta;θ;Times New Roman;52;21;36;77;82;80;81;0.427778;0.414141;0.444444;0.409091;9.971875;17.546875;0.498594;0.501339;28907.296875;14264.746875;0.050578;0.024959
09_iota.png;iota;ι;Times New Roman;52;13;24;31;24;21;36;0.430556;0.285714;0.291667;0.428571;5.75;11.767857;0.479167;0.511646;5915.964286;497;0.060774;0.005106
10_kappa.png;kappa;κ;Times New Roman;52;25;23;68;33;72;56;0.515152;0.230769;0.5;0.358974;10.131004;11.336245;0.422125;0.515284;11033.10917;9022.069869;0.03337;0.027288
11_lambda.png;lambda;λ;Times New Roman;52;24;36;60;6;85;64;0.277778;0.027778;0.393519;0.296296;9.716279;21.451163;0.422447;0.61289;23971.237209;6995.693023;0.032112;0.009371
12_mu.png;mu;μ;Times New Roman;52;25;33;80;80;89;44;0.416667;0.384615;0.436275;0.199095;9.238908;13.972696;0.384954;0.436647;20841.78157;15533.276451;0.030622;0.022822
13_nu.png;nu;ν;Times New Roman;52;24;24;58;40;31;29;0.402778;0.277778;0.215278;0.201389;11.949367;9.35443;0.519538;0.406714;6712.151899;5501.594937;0.020231;0.016582
14_xi.png;xi;ξ;Times New Roman;52;21;47;57;56;51;77;0.247826;0.221344;0.2125;0.291667;9.821577;23.896266;0.491079;0.519484;47668.406639;7307.327801;0.048932;0.007501
15_omicron.png;omicron;ο;Times New Roman;52;22;24;49;60;61;51;0.371212;0.454545;0.462121;0.386364;10.58371;11.59276;0.503986;0.504033;10187.348416;11269.701357;0.036542;0.040424
16_pi.png;pi;π;Times New Roman;52;25;23;57;76;54;67;0.431818;0.531469;0.375;0.429487;12.830709;9.980315;0.534613;0.453651;14476.901575;10087.720472;0.043786;0.030511
17_rho.png;rho;ρ;Times New Roman;52;22;34;58;80;84;24;0.31016;0.427807;0.449198;0.128342;9.195122;14.634146;0.437863;0.443459;20385.073171;12808.634146;0.036434;0.022893
18_sigma.png;sigma;σ;Times New Roman;52;25;23;64;74;52;52;0.484848;0.517483;0.361111;0.333333;11.549587;9.338843;0.481233;0.424493;12170.214876;12781.904959;0.03681;0.03866
19_tau.png;tau;τ;Times New Roman;52;20;23;44;54;21;46;0.4;0.490909;0.175;0.383333;10.484848;8.90303;0.551834;0.404683;9444.448485;2699.212121;0.044633;0.012756
20_upsilon.png;upsilon;υ;Times New Roman;52;24;24;56;46;49;49;0.388889;0.319444;0.340278;0.340278;12.525;11.365;0.544565;0.49413;9294.355;9273.875;0.028014;0.027952
21_phi.png;phi;φ;Times New Roman;52;26;34;96;98;66;46;0.434389;0.443439;0.298643;0.208145;12.369281;13.27451;0.494771;0.402258;20908.941176;17337.271242;0.026756;0.022186
22_chi.png;chi;χ;Times New Roman;52;24;33;64;62;78;58;0.333333;0.322917;0.382353;0.284314;10.519084;16.171756;0.457351;0.505367;29329.270992;8621.40458;0.046757;0.013744
23_psi.png;psi;ψ;Times New Roman;52;31;34;96;111;38;55;0.376471;0.408088;0.14902;0.202206;14.78;12.436667;0.492667;0.376869;20791.796667;17681.48;0.018716;0.015916
24_omega.png;omega;ω;Times New Roman;52;30;24;67;67;76;73;0.372222;0.372222;0.422222;0.405556;14.381625;12.162544;0.495918;0.528806;12596.522968;27220.784452;0.024299;0.052509
