file;symbol_name;symbol;weight_rel;center_x_rel;center_y_rel;inertia_x_rel;inertia_y_rel
01_alpha.png;alpha;α;0.416667;0.461167;0.523304;0.034735;0.035616
02_beta.png;beta;β;0.366538;0.431084;0.455432;0.05555;0.016728
03_gamma.png;gamma;γ;0.243802;0.520312;0.37041;0.032254;0.008428
04_delta.png;delta;δ;0.351351;0.497619;0.543142;0.053099;0.016826
05_epsilon.png;epsilon;ε;0.407895;0.445042;0.525012;0.051088;0.026287
06_zeta.png;zeta;ζ;0.231803;0.479066;0.543688;0.057087;0.008149
07_eta.png;eta;η;0.333333;0.612372;0.405414;0.034632;0.019688
08_theta.png;theta;θ;0.42328;0.498594;0.501339;0.050578;0.024959
09_iota.png;iota;ι;0.358974;0.479167;0.511646;0.060774;0.005106
10_kappa.png;kappa;κ;0.398261;0.422125;0.515284;0.03337;0.027288
11_lambda.png;lambda;λ;0.248843;0.422447;0.61289;0.032112;0.009371
12_mu.png;mu;μ;0.355152;0.384954;0.436647;0.030622;0.022822
13_nu.png;nu;ν;0.274306;0.519538;0.406714;0.020231;0.016582
14_xi.png;xi;ξ;0.244174;0.491079;0.519484;0.048932;0.007501
15_omicron.png;omicron;ο;0.418561;0.503986;0.504033;0.036542;0.040424
16_pi.png;pi;π;0.441739;0.534613;0.453651;0.043786;0.030511
17_rho.png;rho;ρ;0.328877;0.437863;0.443459;0.036434;0.022893
18_sigma.png;sigma;σ;0.42087;0.481233;0.424493;0.03681;0.03866
19_tau.png;tau;τ;0.358696;0.551834;0.404683;0.044633;0.012756
20_upsilon.png;upsilon;υ;0.347222;0.544565;0.49413;0.028014;0.027952
21_phi.png;phi;φ;0.346154;0.494771;0.402258;0.026756;0.022186
22_chi.png;chi;χ;0.330808;0.457351;0.505367;0.046757;0.013744
23_psi.png;psi;ψ;0.28463;0.492667;0.376869;0.018716;0.015916
24_omega.png;omega;ω;0.393056;0.495918;0.528806;0.024299;0.052509
